email,team,groups,password
giovana.carballo,Linux Admin,LinuxAdmin,ChangeMe123456!
glauber.feijo,Linux Admin,LinuxAdmin,ChangeMe123456!
glaucia.pitangui,Linux Admin,LinuxAdmin,ChangeMe123456!
godofredo.carvalhal,Linux Admin,LinuxAdmin,ChangeMe123456!
goncalo.balladares,Linux Admin,LinuxAdmin,ChangeMe123456!
graciano.vianna,Linux Admin,LinuxAdmin,ChangeMe123456!
gui.maior,Linux Admin,LinuxAdmin,ChangeMe123456!
guterre.milheiro,Linux Admin,LinuxAdmin,ChangeMe123456!
guterre.pastana,Linux Admin,LinuxAdmin,ChangeMe123456!
hedviges.velasquez,Linux Admin,LinuxAdmin,ChangeMe123456!
helena.acatauacu,Linux Admin,LinuxAdmin,ChangeMe123456!
hermigio.rosa,Linux Admin,LinuxAdmin,ChangeMe123456!
ibijara.capiperibe,Network Admin,NetworkAdmin,ChangeMe123456!
ifigenia.homem,Network Admin,NetworkAdmin,ChangeMe123456!
iracema.bento,Network Admin,NetworkAdmin,ChangeMe123456!
jandaira.escobar,Network Admin,NetworkAdmin,ChangeMe123456!
jeremias.paula,Network Admin,NetworkAdmin,ChangeMe123456!
lavinia.delgado,Network Admin,NetworkAdmin,ChangeMe123456!
ligia.palhares,Network Admin,NetworkAdmin,ChangeMe123456!
lino.belmonte,Network Admin,NetworkAdmin,ChangeMe123456!
lopo.camacho,Network Admin,NetworkAdmin,ChangeMe123456!
luisa.ramirez,Network Admin,NetworkAdmin,ChangeMe123456!
mario.briao,Network Admin,NetworkAdmin,ChangeMe123456!
melissa.queiroz,Network Admin,NetworkAdmin,ChangeMe123456!
mem.regueira,Network Admin,NetworkAdmin,ChangeMe123456!
morgana.valgueiro,Network Admin,NetworkAdmin,ChangeMe123456!
natalia.terra,Network Admin,NetworkAdmin,ChangeMe123456!
nazare.verissimo,Network Admin,NetworkAdmin,ChangeMe123456!
noe.betancour,Network Admin,NetworkAdmin,ChangeMe123456!
noemia.sarmento,Network Admin,NetworkAdmin,ChangeMe123456!
olavo.borges,Network Admin,NetworkAdmin,ChangeMe123456!
oliveira.sobral,Network Admin,NetworkAdmin,ChangeMe123456!
oriana.viveiros,Network Admin,NetworkAdmin,ChangeMe123456!
paraguacu.ipanema,Network Admin,NetworkAdmin,ChangeMe123456!
placido.medeiros,Network Admin,NetworkAdmin,ChangeMe123456!
porfirio.azenha,Network Admin,NetworkAdmin,ChangeMe123456!
potira.ferraco,Network Admin,NetworkAdmin,ChangeMe123456!
quiteria.xavier,Network Admin,NetworkAdmin,ChangeMe123456!
raquel.paredes,Trainee,Trainees,ChangeMe123456!
ruca.conde,Trainee,Trainees,ChangeMe123456!
salvador.vasquez,Trainee,Trainees,ChangeMe123456!
sancha.pino,Trainee,Trainees,ChangeMe123456!
sandro.alvarenga,Trainee,Trainees,ChangeMe123456!
sebastiana.peres,Trainee,Trainees,ChangeMe123456!
sebastiao.vasconcelos,Trainee,Trainees,ChangeMe123456!
severino.martins,Trainee,Trainees,ChangeMe123456!
sidonio.ramirez,Trainee,Trainees,ChangeMe123456!
simone.velasco,Trainee,Trainees,ChangeMe123456!
socorro.brum,Trainee,Trainees,ChangeMe123456!
sofia.siqueira,Trainee,Trainees,ChangeMe123456!
sonas.modesto,Trainee,Trainees,ChangeMe123456!
sonia.telles,Trainee,Trainees,ChangeMe123456!
teodorico.guilheiro,Trainee,Trainees,ChangeMe123456!
tobias.piraja,Trainee,Trainees,ChangeMe123456!
trajano.santanna,Trainee,Trainees,ChangeMe123456!
ubajara.guerreiro,Trainee,Trainees,ChangeMe123456!
vania.paredes,Cloud Architect,CloudAdmin,ChangeMe123456!
vera.andrade,Trainee,Trainees,ChangeMe123456!
viriato.albernaz,Trainee,Trainees,ChangeMe123456!
xenia.peres,Cloud Architect,CloudAdmin,ChangeMe123456!
zelia.ferrao,Cloud Architect,CloudAdmin,ChangeMe123456!
zidane.espargosa,Cloud Architect,CloudAdmin,ChangeMe123456!
zilda.pastana,Cloud Architect,CloudAdmin,ChangeMe123456!
zulmira.paixao,Cloud Architect,CloudAdmin,ChangeMe123456!
zuriel.losada,Cloud Architect,CloudAdmin,ChangeMe123456!
